domain,category,size_tier,engine,snapshot_date,brand_presence_current,brand_presence_previous,brand_presence_change_pct,link_presence_current,link_presence_previous,link_presence_change_pct,ai_opportunity_traffic_current,ai_opportunity_traffic_previous,ai_opportunity_traffic_change_pct,average_position_current,average_position_previous,average_position_change_pct
coca-cola.com,beverages,large,ai-overview,2026-02-27,21.0,,100,16299,,100,31576,,100,4.38,,
coca-cola.com,beverages,large,chatgpt,2026-02-27,0.0,,100,0,,100,0,,100,,,
coca-cola.com,beverages,large,perplexity,2026-02-27,0.0,,100,8,,100,0,,100,5.63,,
coca-cola.com,beverages,large,gemini,2026-02-27,0.0,,100,18,,100,0,,100,2.89,,
coca-cola.com,beverages,large,ai-mode,2026-02-27,8.0,,100,2072,,100,0,,100,4.33,,
pepsi.com,beverages,large,ai-overview,2026-02-27,551.0,,100,30,,100,29,,100,3.9,,
pepsi.com,beverages,large,chatgpt,2026-02-27,,,100,0,,100,0,,100,,,
pepsi.com,beverages,large,perplexity,2026-02-27,0.0,,100,0,,100,0,,100,,,
pepsi.com,beverages,large,gemini,2026-02-27,,,100,0,,100,0,,100,,,
pepsi.com,beverages,large,ai-mode,2026-02-27,127.0,,100,7,,100,0,,100,2.86,,
drpepper.com,beverages,large,ai-overview,2026-02-27,6154.0,,100,499,,100,9279,,100,4.26,,
drpepper.com,beverages,large,chatgpt,2026-02-27,,,100,0,,100,0,,100,,,
drpepper.com,beverages,large,perplexity,2026-02-27,156.0,,100,2,,100,0,,100,8.0,,
drpepper.com,beverages,large,gemini,2026-02-27,253.0,,100,2,,100,0,,100,1.5,,
drpepper.com,beverages,large,ai-mode,2026-02-27,2592.0,,100,146,,100,0,,100,3.89,,
drinkolipop.com,beverages,small,ai-overview,2026-02-27,190.0,,100,478,,100,2061,,100,7.1,,
drinkolipop.com,beverages,small,chatgpt,2026-02-27,,,100,0,,100,0,,100,,,
drinkolipop.com,beverages,small,perplexity,2026-02-27,1.0,,100,0,,100,0,,100,,,
drinkolipop.com,beverages,small,gemini,2026-02-27,6.0,,100,2,,100,0,,100,2.5,,
drinkolipop.com,beverages,small,ai-mode,2026-02-27,63.0,,100,116,,100,0,,100,6.33,,
mcdonalds.com,fast_food,large,ai-overview,2026-02-27,72390.0,,100,65907,,100,172920,,100,3.99,,
mcdonalds.com,fast_food,large,chatgpt,2026-02-27,0.0,,100,2,,100,0,,100,1.0,,
mcdonalds.com,fast_food,large,perplexity,2026-02-27,0.0,,100,37,,100,0,,100,6.16,,
mcdonalds.com,fast_food,large,gemini,2026-02-27,0.0,,100,76,,100,0,,100,3.78,,
mcdonalds.com,fast_food,large,ai-mode,2026-02-27,19009.0,,100,15786,,100,0,,100,4.59,,
wendys.com,fast_food,large,ai-overview,2026-02-27,12461.0,,100,5480,,100,23875,,100,4.2,,
wendys.com,fast_food,large,chatgpt,2026-02-27,0.0,,100,0,,100,0,,100,,,
wendys.com,fast_food,large,perplexity,2026-02-27,0.0,,100,3,,100,0,,100,4.33,,
wendys.com,fast_food,large,gemini,2026-02-27,0.0,,100,1,,100,0,,100,2.0,,
wendys.com,fast_food,large,ai-mode,2026-02-27,4326.0,,100,1705,,100,0,,100,5.28,,
shakeshack.com,fast_food,small,ai-overview,2026-02-27,3234.0,,100,898,,100,3174,,100,3.79,,
shakeshack.com,fast_food,small,chatgpt,2026-02-27,,,100,0,,100,0,,100,,,
shakeshack.com,fast_food,small,perplexity,2026-02-27,38.0,,100,0,,100,0,,100,,,
shakeshack.com,fast_food,small,gemini,2026-02-27,51.0,,100,0,,100,0,,100,,,
shakeshack.com,fast_food,small,ai-mode,2026-02-27,3552.0,,100,525,,100,0,,100,8.15,,
fiveguys.com,fast_food,small,ai-overview,2026-02-27,2951.0,,100,1186,,100,3346,,100,4.37,,
fiveguys.com,fast_food,small,chatgpt,2026-02-27,,,100,0,,100,0,,100,,,
fiveguys.com,fast_food,small,perplexity,2026-02-27,46.0,,100,0,,100,0,,100,,,
fiveguys.com,fast_food,small,gemini,2026-02-27,47.0,,100,0,,100,0,,100,,,
fiveguys.com,fast_food,small,ai-mode,2026-02-27,2403.0,,100,883,,100,0,,100,5.29,,
