domain,category,size_tier,engine,date,link_presence,overall_traffic,organic_traffic,ai_traffic,average_position
coca-cola.com,beverages,large,ai-overview,2024-08-01,0,940800,940800,0,0.0
coca-cola.com,beverages,large,ai-overview,2024-09-01,1152,1075065,1075065,0,4.2
coca-cola.com,beverages,large,ai-overview,2024-10-01,3249,892510,892510,0,4.77
coca-cola.com,beverages,large,ai-overview,2024-11-01,5110,1012551,1012551,0,2.97
coca-cola.com,beverages,large,ai-overview,2024-12-01,6850,955742,955742,0,3.0
coca-cola.com,beverages,large,ai-overview,2025-01-01,7580,519775,496657,23118,3.11
coca-cola.com,beverages,large,ai-overview,2025-02-01,7436,469988,445188,24800,3.25
coca-cola.com,beverages,large,ai-overview,2025-03-01,9750,376692,355035,21657,3.56
coca-cola.com,beverages,large,ai-overview,2025-04-01,11801,400833,379482,21351,3.95
coca-cola.com,beverages,large,ai-overview,2025-05-01,11937,362675,341892,20783,5.44
coca-cola.com,beverages,large,ai-overview,2025-06-01,8537,463434,450483,12951,5.62
coca-cola.com,beverages,large,ai-overview,2025-07-01,12510,348274,330073,18201,5.85
coca-cola.com,beverages,large,ai-overview,2025-08-01,13325,323314,304968,18346,4.8
coca-cola.com,beverages,large,ai-overview,2025-09-01,12258,389506,377201,12305,4.37
coca-cola.com,beverages,large,ai-overview,2025-10-01,13538,307629,287757,19872,4.86
coca-cola.com,beverages,large,ai-overview,2025-11-01,13311,256868,239281,17587,4.81
coca-cola.com,beverages,large,ai-overview,2025-12-01,13552,293919,269327,24592,4.21
coca-cola.com,beverages,large,ai-overview,2026-01-01,17471,361489,320546,40943,4.36
coca-cola.com,beverages,large,ai-overview,2026-02-01,16299,371020,339444,31576,4.38
drinkolipop.com,beverages,small,ai-overview,2024-08-01,0,128699,128699,0,0.0
drinkolipop.com,beverages,small,ai-overview,2024-09-01,110,106043,106043,0,5.08
drinkolipop.com,beverages,small,ai-overview,2024-10-01,307,215664,215664,0,5.48
drinkolipop.com,beverages,small,ai-overview,2024-11-01,485,216380,216380,0,4.7
drinkolipop.com,beverages,small,ai-overview,2024-12-01,538,121166,121166,0,4.74
drinkolipop.com,beverages,small,ai-overview,2025-01-01,493,148256,147237,1019,5.31
drinkolipop.com,beverages,small,ai-overview,2025-02-01,671,149303,147366,1937,11.47
drinkolipop.com,beverages,small,ai-overview,2025-03-01,642,34971,33477,1494,11.06
drinkolipop.com,beverages,small,ai-overview,2025-04-01,697,37407,7920,29487,11.06
drinkolipop.com,beverages,small,ai-overview,2025-05-01,679,8607,6973,1634,11.61
drinkolipop.com,beverages,small,ai-overview,2025-06-01,373,26962,26173,789,12.88
drinkolipop.com,beverages,small,ai-overview,2025-07-01,499,23898,23005,893,12.44
drinkolipop.com,beverages,small,ai-overview,2025-08-01,560,31692,30844,848,10.39
drinkolipop.com,beverages,small,ai-overview,2025-09-01,383,30854,30331,523,8.54
drinkolipop.com,beverages,small,ai-overview,2025-10-01,558,26291,25359,932,10.39
drinkolipop.com,beverages,small,ai-overview,2025-11-01,550,24068,23194,874,10.39
drinkolipop.com,beverages,small,ai-overview,2025-12-01,412,27453,26365,1088,8.21
drinkolipop.com,beverages,small,ai-overview,2026-01-01,526,25507,21578,3929,7.07
drinkolipop.com,beverages,small,ai-overview,2026-02-01,478,25382,23321,2061,7.1
drpepper.com,beverages,large,ai-overview,2024-08-01,0,210838,210838,0,0.0
drpepper.com,beverages,large,ai-overview,2024-09-01,59,185287,185287,0,5.56
drpepper.com,beverages,large,ai-overview,2024-10-01,126,177298,177298,0,5.05
drpepper.com,beverages,large,ai-overview,2024-11-01,255,243730,243730,0,2.65
drpepper.com,beverages,large,ai-overview,2024-12-01,283,177117,177117,0,2.68
drpepper.com,beverages,large,ai-overview,2025-01-01,258,134601,126969,7632,2.47
drpepper.com,beverages,large,ai-overview,2025-02-01,257,123300,121973,1327,2.35
drpepper.com,beverages,large,ai-overview,2025-03-01,359,124204,122607,1597,2.96
drpepper.com,beverages,large,ai-overview,2025-04-01,385,34290,33071,1219,3.31
drpepper.com,beverages,large,ai-overview,2025-05-01,449,33976,31861,2115,4.17
drpepper.com,beverages,large,ai-overview,2025-06-01,246,94099,93642,457,5.16
drpepper.com,beverages,large,ai-overview,2025-07-01,374,95136,94118,1018,5.2
drpepper.com,beverages,large,ai-overview,2025-08-01,387,105784,105411,373,3.8
drpepper.com,beverages,large,ai-overview,2025-09-01,350,100696,100230,466,3.3
drpepper.com,beverages,large,ai-overview,2025-10-01,398,103534,102590,944,3.84
