domain,category,size_tier,date,metric,value
coca-cola.com,beverages,large,2023-01-01,keywords_count,107446.0
coca-cola.com,beverages,large,2023-02-01,keywords_count,99264.0
coca-cola.com,beverages,large,2023-03-01,keywords_count,95925.0
coca-cola.com,beverages,large,2023-04-01,keywords_count,97628.0
coca-cola.com,beverages,large,2023-05-01,keywords_count,98477.0
coca-cola.com,beverages,large,2023-06-01,keywords_count,99798.0
coca-cola.com,beverages,large,2023-07-01,keywords_count,101172.0
coca-cola.com,beverages,large,2023-08-01,keywords_count,104500.0
coca-cola.com,beverages,large,2023-09-01,keywords_count,130327.0
coca-cola.com,beverages,large,2023-10-01,keywords_count,140739.0
coca-cola.com,beverages,large,2023-11-01,keywords_count,145498.0
coca-cola.com,beverages,large,2023-12-01,keywords_count,168928.0
coca-cola.com,beverages,large,2024-01-01,keywords_count,183257.0
coca-cola.com,beverages,large,2024-02-01,keywords_count,190733.0
coca-cola.com,beverages,large,2024-03-01,keywords_count,191043.0
coca-cola.com,beverages,large,2024-04-01,keywords_count,195199.0
coca-cola.com,beverages,large,2024-05-01,keywords_count,201120.0
coca-cola.com,beverages,large,2024-06-01,keywords_count,205621.0
coca-cola.com,beverages,large,2024-07-01,keywords_count,213666.0
coca-cola.com,beverages,large,2024-08-01,keywords_count,223288.0
coca-cola.com,beverages,large,2024-09-01,keywords_count,219746.0
coca-cola.com,beverages,large,2024-10-01,keywords_count,211564.0
coca-cola.com,beverages,large,2024-11-01,keywords_count,203350.0
coca-cola.com,beverages,large,2024-12-01,keywords_count,200823.0
coca-cola.com,beverages,large,2025-01-01,keywords_count,229666.0
coca-cola.com,beverages,large,2025-02-01,keywords_count,230290.0
coca-cola.com,beverages,large,2025-03-01,keywords_count,226944.0
coca-cola.com,beverages,large,2025-04-01,keywords_count,239622.0
coca-cola.com,beverages,large,2025-05-01,keywords_count,239538.0
coca-cola.com,beverages,large,2025-06-01,keywords_count,220781.0
coca-cola.com,beverages,large,2025-07-01,keywords_count,206031.0
coca-cola.com,beverages,large,2025-08-01,keywords_count,204419.0
coca-cola.com,beverages,large,2025-09-01,keywords_count,190612.0
coca-cola.com,beverages,large,2025-10-01,keywords_count,204580.0
coca-cola.com,beverages,large,2025-11-01,keywords_count,204627.0
coca-cola.com,beverages,large,2025-12-01,keywords_count,206498.0
coca-cola.com,beverages,large,2026-01-01,keywords_count,207507.0
coca-cola.com,beverages,large,2026-02-01,keywords_count,206053.0
drinkolipop.com,beverages,small,2023-01-01,keywords_count,12408.0
drinkolipop.com,beverages,small,2023-02-01,keywords_count,15196.0
drinkolipop.com,beverages,small,2023-03-01,keywords_count,16808.0
drinkolipop.com,beverages,small,2023-04-01,keywords_count,18719.0
drinkolipop.com,beverages,small,2023-05-01,keywords_count,19798.0
drinkolipop.com,beverages,small,2023-06-01,keywords_count,20660.0
drinkolipop.com,beverages,small,2023-07-01,keywords_count,19683.0
drinkolipop.com,beverages,small,2023-08-01,keywords_count,21925.0
drinkolipop.com,beverages,small,2023-09-01,keywords_count,19433.0
drinkolipop.com,beverages,small,2023-10-01,keywords_count,20628.0
drinkolipop.com,beverages,small,2023-11-01,keywords_count,21441.0
drinkolipop.com,beverages,small,2023-12-01,keywords_count,28972.0
drinkolipop.com,beverages,small,2024-01-01,keywords_count,26107.0
drinkolipop.com,beverages,small,2024-02-01,keywords_count,25139.0
drinkolipop.com,beverages,small,2024-03-01,keywords_count,24319.0
drinkolipop.com,beverages,small,2024-04-01,keywords_count,24482.0
drinkolipop.com,beverages,small,2024-05-01,keywords_count,22316.0
drinkolipop.com,beverages,small,2024-06-01,keywords_count,26643.0
drinkolipop.com,beverages,small,2024-07-01,keywords_count,24895.0
drinkolipop.com,beverages,small,2024-08-01,keywords_count,31229.0
drinkolipop.com,beverages,small,2024-09-01,keywords_count,31549.0
drinkolipop.com,beverages,small,2024-10-01,keywords_count,32479.0
drinkolipop.com,beverages,small,2024-11-01,keywords_count,27738.0
drinkolipop.com,beverages,small,2024-12-01,keywords_count,26297.0
drinkolipop.com,beverages,small,2025-01-01,keywords_count,18066.0
drinkolipop.com,beverages,small,2025-02-01,keywords_count,19367.0
drinkolipop.com,beverages,small,2025-03-01,keywords_count,18197.0
drinkolipop.com,beverages,small,2025-04-01,keywords_count,20772.0
drinkolipop.com,beverages,small,2025-05-01,keywords_count,20727.0
drinkolipop.com,beverages,small,2025-06-01,keywords_count,17391.0
drinkolipop.com,beverages,small,2025-07-01,keywords_count,15733.0
drinkolipop.com,beverages,small,2025-08-01,keywords_count,14494.0
drinkolipop.com,beverages,small,2025-09-01,keywords_count,12908.0
drinkolipop.com,beverages,small,2025-10-01,keywords_count,14475.0
drinkolipop.com,beverages,small,2025-11-01,keywords_count,14459.0
drinkolipop.com,beverages,small,2025-12-01,keywords_count,15893.0
drinkolipop.com,beverages,small,2026-01-01,keywords_count,15184.0
drinkolipop.com,beverages,small,2026-02-01,keywords_count,15690.0
drpepper.com,beverages,large,2023-01-01,keywords_count,5346.0
drpepper.com,beverages,large,2023-02-01,keywords_count,5085.0
drpepper.com,beverages,large,2023-03-01,keywords_count,5106.0
drpepper.com,beverages,large,2023-04-01,keywords_count,5104.0
drpepper.com,beverages,large,2023-05-01,keywords_count,5488.0
drpepper.com,beverages,large,2023-06-01,keywords_count,5802.0
drpepper.com,beverages,large,2023-07-01,keywords_count,6123.0
drpepper.com,beverages,large,2023-08-01,keywords_count,6186.0
drpepper.com,beverages,large,2023-09-01,keywords_count,6742.0
drpepper.com,beverages,large,2023-10-01,keywords_count,7016.0
drpepper.com,beverages,large,2023-11-01,keywords_count,7945.0
drpepper.com,beverages,large,2023-12-01,keywords_count,8759.0
drpepper.com,beverages,large,2024-01-01,keywords_count,9248.0
drpepper.com,beverages,large,2024-02-01,keywords_count,9395.0
drpepper.com,beverages,large,2024-03-01,keywords_count,9222.0
drpepper.com,beverages,large,2024-04-01,keywords_count,9600.0
drpepper.com,beverages,large,2024-05-01,keywords_count,9759.0
drpepper.com,beverages,large,2024-06-01,keywords_count,9921.0
drpepper.com,beverages,large,2024-07-01,keywords_count,10590.0
drpepper.com,beverages,large,2024-08-01,keywords_count,10855.0
drpepper.com,beverages,large,2024-09-01,keywords_count,11447.0
drpepper.com,beverages,large,2024-10-01,keywords_count,11957.0
drpepper.com,beverages,large,2024-11-01,keywords_count,13141.0
drpepper.com,beverages,large,2024-12-01,keywords_count,13122.0
drpepper.com,beverages,large,2025-01-01,keywords_count,14575.0
drpepper.com,beverages,large,2025-02-01,keywords_count,14810.0
drpepper.com,beverages,large,2025-03-01,keywords_count,15027.0
drpepper.com,beverages,large,2025-04-01,keywords_count,19220.0
drpepper.com,beverages,large,2025-05-01,keywords_count,19162.0
drpepper.com,beverages,large,2025-06-01,keywords_count,14283.0
drpepper.com,beverages,large,2025-07-01,keywords_count,13031.0
drpepper.com,beverages,large,2025-08-01,keywords_count,13829.0
drpepper.com,beverages,large,2025-09-01,keywords_count,13777.0
drpepper.com,beverages,large,2025-10-01,keywords_count,13902.0
drpepper.com,beverages,large,2025-11-01,keywords_count,13878.0
drpepper.com,beverages,large,2025-12-01,keywords_count,14853.0
drpepper.com,beverages,large,2026-01-01,keywords_count,12703.0
drpepper.com,beverages,large,2026-02-01,keywords_count,13746.0
pepsi.com,beverages,large,2023-01-01,keywords_count,45701.0
pepsi.com,beverages,large,2023-02-01,keywords_count,49544.0
pepsi.com,beverages,large,2023-03-01,keywords_count,51183.0
pepsi.com,beverages,large,2023-04-01,keywords_count,48544.0
pepsi.com,beverages,large,2023-05-01,keywords_count,41569.0
pepsi.com,beverages,large,2023-06-01,keywords_count,42597.0
pepsi.com,beverages,large,2023-07-01,keywords_count,36980.0
pepsi.com,beverages,large,2023-08-01,keywords_count,38970.0
pepsi.com,beverages,large,2023-09-01,keywords_count,44158.0
pepsi.com,beverages,large,2023-10-01,keywords_count,47933.0
pepsi.com,beverages,large,2023-11-01,keywords_count,51456.0
pepsi.com,beverages,large,2023-12-01,keywords_count,52766.0
pepsi.com,beverages,large,2024-01-01,keywords_count,48553.0
pepsi.com,beverages,large,2024-02-01,keywords_count,43705.0
pepsi.com,beverages,large,2024-03-01,keywords_count,40213.0
pepsi.com,beverages,large,2024-04-01,keywords_count,30747.0
pepsi.com,beverages,large,2024-05-01,keywords_count,26511.0
pepsi.com,beverages,large,2024-06-01,keywords_count,22533.0
pepsi.com,beverages,large,2024-07-01,keywords_count,19772.0
pepsi.com,beverages,large,2024-08-01,keywords_count,17135.0
pepsi.com,beverages,large,2024-09-01,keywords_count,15624.0
pepsi.com,beverages,large,2024-10-01,keywords_count,15172.0
pepsi.com,beverages,large,2024-11-01,keywords_count,13814.0
pepsi.com,beverages,large,2024-12-01,keywords_count,12047.0
pepsi.com,beverages,large,2025-01-01,keywords_count,12366.0
pepsi.com,beverages,large,2025-02-01,keywords_count,12496.0
pepsi.com,beverages,large,2025-03-01,keywords_count,13171.0
pepsi.com,beverages,large,2025-04-01,keywords_count,14957.0
pepsi.com,beverages,large,2025-05-01,keywords_count,14968.0
pepsi.com,beverages,large,2025-06-01,keywords_count,24745.0
pepsi.com,beverages,large,2025-07-01,keywords_count,12004.0
pepsi.com,beverages,large,2025-08-01,keywords_count,8358.0
pepsi.com,beverages,large,2025-09-01,keywords_count,19053.0
pepsi.com,beverages,large,2025-10-01,keywords_count,8454.0
pepsi.com,beverages,large,2025-11-01,keywords_count,8468.0
pepsi.com,beverages,large,2025-12-01,keywords_count,15006.0
pepsi.com,beverages,large,2026-01-01,keywords_count,18160.0
pepsi.com,beverages,large,2026-02-01,keywords_count,21885.0
fiveguys.com,fast_food,small,2023-01-01,keywords_count,131531.0
fiveguys.com,fast_food,small,2023-02-01,keywords_count,135300.0
fiveguys.com,fast_food,small,2023-03-01,keywords_count,130458.0
fiveguys.com,fast_food,small,2023-04-01,keywords_count,127291.0
fiveguys.com,fast_food,small,2023-05-01,keywords_count,129708.0
fiveguys.com,fast_food,small,2023-06-01,keywords_count,133275.0
fiveguys.com,fast_food,small,2023-07-01,keywords_count,140729.0
fiveguys.com,fast_food,small,2023-08-01,keywords_count,145578.0
fiveguys.com,fast_food,small,2023-09-01,keywords_count,167456.0
fiveguys.com,fast_food,small,2023-10-01,keywords_count,164853.0
