keywords_count,traffic_sum,top1_5,top6_10,top11_20,top21_50,top51_100,price_sum,domain,category,size_tier,date
107446,306206,15377,7928,13994,31867,48094,284218.0,coca-cola.com,beverages,large,2023-01-01
99264,324547,15316,7482,13045,29339,43751,407931.0,coca-cola.com,beverages,large,2023-02-01
95925,337790,15570,7564,12617,27894,42118,385610.0,coca-cola.com,beverages,large,2023-03-01
97628,301804,15548,7616,12729,28468,42931,323535.0,coca-cola.com,beverages,large,2023-04-01
98477,283304,15549,7844,13013,29162,42535,308172.0,coca-cola.com,beverages,large,2023-05-01
99798,268216,15518,7767,12971,29483,43507,309778.0,coca-cola.com,beverages,large,2023-06-01
101172,253171,15329,7476,12750,29156,45782,1412596.0,coca-cola.com,beverages,large,2023-07-01
104500,220854,15328,7555,12569,30078,48381,1856145.0,coca-cola.com,beverages,large,2023-08-01
130327,236028,18631,8797,13748,36272,64073,2414936.0,coca-cola.com,beverages,large,2023-09-01
140739,283623,19797,9282,14025,38801,71146,2606728.0,coca-cola.com,beverages,large,2023-10-01
145498,273936,18506,8747,13159,40237,76697,1592939.0,coca-cola.com,beverages,large,2023-11-01
168928,266081,20715,9420,13976,48338,91367,820908.0,coca-cola.com,beverages,large,2023-12-01
183257,370290,23096,11077,16707,61740,110793,722866.0,coca-cola.com,beverages,large,2024-01-01
190733,517249,26740,12938,19209,71581,120392,1360336.0,coca-cola.com,beverages,large,2024-02-01
191043,635488,27118,13696,20799,79687,129335,1430106.0,coca-cola.com,beverages,large,2024-03-01
195199,650703,28358,14416,22459,87286,139630,850345.0,coca-cola.com,beverages,large,2024-04-01
201120,650679,28916,14765,22881,90738,150667,406334.0,coca-cola.com,beverages,large,2024-05-01
205621,593623,30211,15239,23650,92278,155737,614336.0,coca-cola.com,beverages,large,2024-06-01
213666,508486,30981,15619,23787,94160,166361,662615.0,coca-cola.com,beverages,large,2024-07-01
223288,477074,33071,16710,25757,100544,175377,741362.0,coca-cola.com,beverages,large,2024-08-01
219746,508059,35361,17150,25963,99287,175023,731392.0,coca-cola.com,beverages,large,2024-09-01
211564,491444,37600,17314,26569,97094,166908,474361.0,coca-cola.com,beverages,large,2024-10-01
203350,502458,38654,17440,26667,95166,159996,267990.0,coca-cola.com,beverages,large,2024-11-01
200823,492840,39424,16911,25781,90220,155048,160695.0,coca-cola.com,beverages,large,2024-12-01
229666,519775,39365,16289,24463,90254,176404,132051.58,coca-cola.com,beverages,large,2025-01-01
230290,469988,39413,16409,24969,93184,180114,763341.29,coca-cola.com,beverages,large,2025-02-01
226944,376692,41689,16761,25228,94669,179922,111702.4,coca-cola.com,beverages,large,2025-03-01
239622,400833,55121,25387,29765,105074,197103,106354.69,coca-cola.com,beverages,large,2025-04-01
239538,362675,55263,25307,29646,104965,197139,117595.2,coca-cola.com,beverages,large,2025-05-01
220781,463434,66912,32946,27945,85915,211557,159238.51,coca-cola.com,beverages,large,2025-06-01
206031,348274,61836,26472,24915,78730,194903,196921.03,coca-cola.com,beverages,large,2025-07-01
204419,323314,59475,24904,24945,76369,195025,172188.66,coca-cola.com,beverages,large,2025-08-01
190612,389506,48681,19622,23559,74469,172433,253900.56,coca-cola.com,beverages,large,2025-09-01
204580,307629,59652,24884,25029,76562,195087,175597.2,coca-cola.com,beverages,large,2025-10-01
204627,256868,59464,24873,25035,76699,195351,110911.16,coca-cola.com,beverages,large,2025-11-01
206498,293919,60594,24907,26617,83777,192121,151224.46,coca-cola.com,beverages,large,2025-12-01
207507,361489,65705,25280,26802,85258,192858,140295.25,coca-cola.com,beverages,large,2026-01-01
206053,371020,65076,25222,27039,87539,193631,91663.77,coca-cola.com,beverages,large,2026-02-01
12408,42820,149,135,469,2945,8769,15342.0,drinkolipop.com,beverages,small,2023-01-01
15196,68273,169,199,631,4124,10161,20099.0,drinkolipop.com,beverages,small,2023-02-01
16808,68297,189,213,645,4314,11533,19537.0,drinkolipop.com,beverages,small,2023-03-01
18719,64751,211,220,683,4754,12946,19344.0,drinkolipop.com,beverages,small,2023-04-01
19798,64415,236,208,705,5109,13646,19833.0,drinkolipop.com,beverages,small,2023-05-01
20660,63053,259,203,691,5568,14040,17359.0,drinkolipop.com,beverages,small,2023-06-01
19683,48174,245,211,706,5482,13144,18143.0,drinkolipop.com,beverages,small,2023-07-01
21925,42420,244,207,707,5910,14962,23733.0,drinkolipop.com,beverages,small,2023-08-01
19433,42262,289,249,634,4666,13708,26382.0,drinkolipop.com,beverages,small,2023-09-01
20628,52572,285,251,605,4565,15040,30791.0,drinkolipop.com,beverages,small,2023-10-01
21441,64805,273,257,576,4292,16155,26308.0,drinkolipop.com,beverages,small,2023-11-01
28972,58021,319,303,843,5343,22323,19340.0,drinkolipop.com,beverages,small,2023-12-01
26107,59308,368,364,1096,5503,19346,22116.0,drinkolipop.com,beverages,small,2024-01-01
