category,tier,keyword
beverages,tier1,coca cola
beverages,tier1,coke
beverages,tier1,coke zero
beverages,tier1,diet coke
beverages,tier1,coca cola zero sugar
beverages,tier1,coca cola original
beverages,tier1,coca cola classic
beverages,tier1,coca cola flavors
beverages,tier1,coke products
beverages,tier1,coca cola website
beverages,tier1,pepsi
beverages,tier1,pepsi cola
beverages,tier1,diet pepsi
beverages,tier1,pepsi zero sugar
beverages,tier1,pepsi max
beverages,tier1,pepsi wild cherry
beverages,tier1,pepsi flavors
beverages,tier1,pepsi website
beverages,tier1,pepsi products
beverages,tier1,dr pepper
beverages,tier1,dr. pepper
beverages,tier1,diet dr pepper
beverages,tier1,dr pepper zero sugar
beverages,tier1,dr pepper cherry
beverages,tier1,dr pepper flavors
beverages,tier1,dr pepper website
beverages,tier1,dr pepper products
beverages,tier1,olipop
beverages,tier1,olipop soda
beverages,tier1,olipop drinks
beverages,tier1,olipop prebiotic soda
beverages,tier1,olipop flavors
beverages,tier1,buy olipop
beverages,tier1,olipop near me
beverages,tier1,olipop reviews
beverages,tier1,olipop website
beverages,tier1,olipop ingredients
beverages,tier1,olipop where to buy
beverages,tier1,olipop vs poppi
beverages,tier1,olipop amazon
beverages,tier2,cola
beverages,tier2,soda brands
beverages,tier2,zero sugar soda
beverages,tier2,diet soda
beverages,tier2,best soda
beverages,tier2,carbonated drinks
beverages,tier2,soft drinks
beverages,tier2,soda pop
beverages,tier2,prebiotic soda
beverages,tier2,healthy soda
beverages,tier2,craft soda
beverages,tier2,soda calories
beverages,tier2,soda sugar content
beverages,tier2,best cola
beverages,tier2,popular soda brands
beverages,tier2,soda ranking
beverages,tier2,top soda brands
beverages,tier2,healthiest soda
beverages,tier2,gut health drinks
beverages,tier2,functional beverages
beverages,tier2,sparkling water vs soda
beverages,tier2,sugar free soda
beverages,tier2,soda alternatives
beverages,tier2,best diet soda
beverages,tier2,low calorie soda
beverages,tier2,soda flavors
beverages,tier2,best carbonated drinks
beverages,tier2,most popular soda brand
beverages,tier2,soda market
beverages,tier2,cola brands comparison
beverages,tier2,soda reviews
beverages,tier2,flavored soda
beverages,tier2,soda with caffeine
beverages,tier2,caffeine free soda
beverages,tier2,best tasting soda
beverages,tier2,zero calorie soda
beverages,tier2,soda with probiotics
beverages,tier2,healthy carbonated drinks
beverages,tier2,soda ingredients list
beverages,tier2,soda without high fructose corn syrup
beverages,tier2,natural soda
beverages,tier2,organic soda
beverages,tier2,small batch soda
beverages,tier2,craft beverage brand
beverages,tier2,soda subscription box
beverages,tier2,canned soda
beverages,tier2,soda can brands
beverages,tier2,soda history
beverages,tier2,classic american soda
beverages,tier2,best selling soda
beverages,tier2,soda industry trends
beverages,tier2,prebiotic drink
beverages,tier2,gut health beverage
beverages,tier2,functional soda
beverages,tier2,better for you soda
beverages,tier2,clean label soda
beverages,tier2,soda market share
beverages,tier2,soda vs sparkling water
beverages,tier2,soda addiction
beverages,tier2,soda alternatives healthy
beverages,tier2,quit soda
beverages,tier2,reduce soda intake
beverages,tier2,soda caffeine comparison
beverages,tier2,diet soda health effects
beverages,tier2,artificial sweetener soda
beverages,tier2,stevia soda
beverages,tier2,cane sugar soda
beverages,tier2,craft cola
beverages,tier2,artisanal soda
beverages,tier2,boutique beverage brand
beverages,tier2,emerging beverage brand
beverages,tier2,challenger beverage brand
fast_food,tier1,mcdonalds
fast_food,tier1,mcdonald's
fast_food,tier1,mcdonalds menu
fast_food,tier1,mcdonalds near me
fast_food,tier1,mcdonalds breakfast
fast_food,tier1,mcdonalds happy meal
fast_food,tier1,mcdonalds dollar menu
fast_food,tier1,mcdonalds deals
fast_food,tier1,mcdonalds app
fast_food,tier1,big mac
fast_food,tier1,mcnuggets
fast_food,tier1,mcdonald's website
fast_food,tier1,mcdonald's prices
fast_food,tier1,mcdonald's calories
fast_food,tier1,mcdonald's new items
fast_food,tier1,wendy's
fast_food,tier1,wendys
fast_food,tier1,wendy's menu
fast_food,tier1,wendy's near me
fast_food,tier1,wendy's breakfast
fast_food,tier1,wendy's frosty
fast_food,tier1,wendy's nuggets
fast_food,tier1,wendy's deals
fast_food,tier1,wendy's app
fast_food,tier1,dave's single
fast_food,tier1,baconator
