query,category,brand_domain,size_tier,snapshot_date,brand_present_top10,best_rank_brand,count_brand_results_top10,count_brand_results_top20
artificial sweetener soda,beverages,coca-cola.com,large,2026-03-02,0,,0,0
artificial sweetener soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
artificial sweetener soda,beverages,drpepper.com,large,2026-03-02,0,,0,0
artificial sweetener soda,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
artisanal soda,beverages,coca-cola.com,large,2026-03-02,0,,0,0
artisanal soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
artisanal soda,beverages,drpepper.com,large,2026-03-02,0,,0,0
artisanal soda,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
best carbonated drinks,beverages,coca-cola.com,large,2026-03-02,0,62.0,0,0
best carbonated drinks,beverages,pepsi.com,large,2026-03-02,0,,0,0
best carbonated drinks,beverages,drpepper.com,large,2026-03-02,0,,0,0
best carbonated drinks,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
best cola,beverages,coca-cola.com,large,2026-03-02,0,46.0,0,0
best cola,beverages,pepsi.com,large,2026-03-02,0,,0,0
best cola,beverages,drpepper.com,large,2026-03-02,0,,0,0
best cola,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
best diet soda,beverages,coca-cola.com,large,2026-03-02,0,63.0,0,0
best diet soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
best diet soda,beverages,drpepper.com,large,2026-03-02,0,,0,0
best diet soda,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
best selling soda,beverages,coca-cola.com,large,2026-03-02,0,,0,0
best selling soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
best selling soda,beverages,drpepper.com,large,2026-03-02,0,,0,0
best selling soda,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
best soda,beverages,coca-cola.com,large,2026-03-02,0,67.0,0,0
best soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
best soda,beverages,drpepper.com,large,2026-03-02,0,,0,0
best soda,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
best tasting soda,beverages,coca-cola.com,large,2026-03-02,0,73.0,0,0
best tasting soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
best tasting soda,beverages,drpepper.com,large,2026-03-02,0,,0,0
best tasting soda,beverages,drinkolipop.com,small,2026-03-02,0,,0,0
better for you soda,beverages,coca-cola.com,large,2026-03-02,0,54.0,0,0
better for you soda,beverages,pepsi.com,large,2026-03-02,0,,0,0
